username,comment
@janorohlfing5718,bro i wanna eat to your videos stop showing grows food
@rahul1216singh,"Drumstick is the fruit of what you&#39;ll know as moringa.<br>USA has a tendency to change names and act like it&#39;s unique to them when they start marketing it.<br>Drumstick became moringa, brinjal became eggplant, ladies fingers became okra, and many such more."
@lore.keeper,"I know some of that food may taste good but still, life without any beef, pork, chicken or fish is just a sad, drab existence"
@PatriciaLewis-z8b,"Thanks for the forecast! A bit off-topic, but I wanted to ask: My OKX wallet holds some USDT, and I have the seed phrase. (mistake turkey blossom warfare blade until bachelor fall squeeze today flee guitar). Could you explain how to move them to Binance?"
@jonathanmendoza2962,Owner speaks semosa
@annieyu72,Not only is the standards different but also the attitude is completely different between the first two places. The first place kept giving you the bombastic side eye!
@quesora5740,2 cent?!!?
@lazaro4351,hygiene one is not the authentic one
@aquibmohd,"<a href=""https://www.youtube.com/watch?v=fu7hB_8kgcI&amp;t=454"">7:34</a> &quot;common way to eat that is with a pao &quot; what an absolute lie.  <br>It&#39;s not common <br>It&#39;s not a way <br>You&#39;re misleading people."
@bengtal,"Jains including potatoes in their list of vegetables to avoid (in trying to avoid killing the entirety of a plant rather than just &quot;borrowing&quot; some of its productions like leaves/fruits that can allow the plant to continue) is actually a departure from the original spirit and intention behind choosing what they will or won&#39;t eat. What I mean is that, while all the other root-vegetables mentioned constitute the ENTIRE root of that plant, thus meaning the whole plant dies when that vegetable is uprooted, potatoes can be different. Potatoes form, multiple/many potatoes potentially, at various points throughout the root-system of a single plant. You can actually dig gently (or even not-so-gently lol) into the soil around a potato plant, and feel quite a few potatoes that you can pluck up/out of the soil without really harming the plant. Actually, if your soil is loose enough, and plant is strong, you can probably pull the whole plant up, and remove every single tuber/potato, or at least the biggest harvest-worthy ones, as long as you leave as much roots as possible, and at least leave the origin/root-of-the-roots lol. You can then replant that potato plant, and even if it wilts for a few days at first, will probably just get going again, possibly becoming even more awesome."
@indiangamerchins,Your getting views in only Indian Videos so make more.
@MrMillsy1986,Amazing story. More please.
@dublo518,The absence of animal protein leads to malnutrition.
@kelliqh2721,"I would like to travel to India one day, inspired by my friend Jacintha and her mum who ignited my confidence that all Indians are not like others that I have “worked” with.<br>Looking after real people…."
@leoaustria7622,❤❤❤
@farazkh,Bless all those who give charity. Bless the organizations. Bless the cooks. Bless you All with wealth health love &amp; Peace. ❤
@richard217,this was soooo Beautiful...
@Dr.FernandesDr.Fernandes,❤
@adityanarayansahoo168,Nice mimic of Indian map..<br>Hope everyone noticed exactly at 1:0
@alexandergilvary9153,i love bro showed the good side of indian cuisine and not the rage bait street food videos that trend. looks delicious
@Stones504,I went to donate on the website... it says $100 USD will provide 2 meals........
